"index","label","fileName","relativePath","kind","width","height","brightness","saturation","edge","sizeMB"
"44","044 F-0032","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0032.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0032.jpg","full-export","3600","2937","157.08","27.31","30.61","1.658"
"45","045 F-0033","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0033.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0033.jpg","full-export","3600","2937","21.23","26.98","5.35","1.491"
"46","046 F-0034","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0034.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0034.jpg","full-export","2937","3600","164","73.67","22.56","2.354"
"47","047 F-0038","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0038.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0038.jpg","full-export","3600","2670","86.15","26.97","42.52","1.597"
"48","048 F-0039","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0039.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0039.jpg","full-export","2670","3600","89.81","33.85","26.35","1.574"
"49","049 F-0041","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0041.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0041.jpg","full-export","3600","2937","89.88","27.6","28.76","1.889"
"50","050 F-0043","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0043.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0043.jpg","full-export","3600","2937","118.04","35.95","27.66","2.179"
"51","051 F-0046","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0046.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0046.jpg","full-export","2937","3600","114.7","36.43","27.63","1.924"
"52","052 F-0047","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0047.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0047.jpg","full-export","2937","3600","131.46","37.98","27.81","1.95"
"53","053 F-0048","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0048.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0048.jpg","full-export","2937","3600","126.53","24.6","26.56","1.851"
"54","054 F-0050","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0050.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0050.jpg","full-export","3088","2048","24.67","17.95","17.97","0.805"
"55","055 F-0051","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0051.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0051.jpg","full-export","3088","2048","25.72","20.25","16.25","0.771"
"56","056 F-0052","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0052.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0052.jpg","full-export","3088","2048","26.73","21.03","15.67","0.747"
"57","057 F-0053","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0053.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0053.jpg","full-export","3088","2048","27.83","23.07","18","1.271"
"58","058 F-0054","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0054.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0054.jpg","full-export","3088","2048","42.61","30.1","19.78","1.442"
"59","059 F-0056","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0056.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0056.jpg","full-export","3088","2048","32.94","29.77","20","1.386"
"60","060 F-0057","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0057.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0057.jpg","full-export","3088","2048","30.3","26.57","18.56","1.256"
"61","061 F-0059","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0059.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0059.jpg","full-export","3088","2048","10.06","8.84","10.27","0.553"
"62","062 F-0060","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0060.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0060.jpg","full-export","3088","2048","15.92","13.08","13.65","0.898"
"63","063 F-0061","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0061.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0061.jpg","full-export","3088","2048","10.38","9.77","10.16","0.608"
"64","064 F-0063","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0063.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0063.jpg","full-export","3088","2048","14.45","17.5","12.33","0.801"
"65","065 F-0064","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0064.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0064.jpg","full-export","3088","2048","40.57","21.91","27.43","1.106"
"66","066 F-0065","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0065.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0065.jpg","full-export","3088","2048","34.63","20.08","24.65","0.901"
"67","067 F-0066","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0066.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0066.jpg","full-export","3088","2048","32.25","16.38","22.19","0.805"
"68","068 F-0067","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0067.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0067.jpg","full-export","3088","2048","37.74","18.23","25.3","0.902"
"69","069 F-0068","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0068.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0068.jpg","full-export","3088","2048","28.79","28.45","14.32","0.759"
"70","070 F-0069","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0069.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0069.jpg","full-export","2048","3088","24.65","21.07","13.38","1.008"
"71","071 F-0071","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0071.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0071.jpg","full-export","3088","2048","53.49","26.29","19.93","1.035"
"72","072 F-0074","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0074.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0074.jpg","full-export","3088","2048","137.33","17.7","26.62","1.856"
"73","073 F-0075","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0075.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0075.jpg","full-export","3088","2048","116.35","34.42","29.96","1.25"
"74","074 F-0076","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0076.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0076.jpg","full-export","3088","2048","92.45","39.35","34.7","1.191"
"75","075 F-0077","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0077.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0077.jpg","full-export","2048","3088","134.97","108.46","22.57","2.142"
"76","076 F-0078","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0078.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0078.jpg","full-export","3088","2048","144.31","103.23","27.96","1.77"
"77","077 F-0079","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0079.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0079.jpg","full-export","2048","3088","132.68","124.73","28.95","1.825"
"78","078 F-0080","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0080.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0080.jpg","full-export","2048","3088","120.94","151.04","24.57","1.996"
"79","079 F-0081","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0081.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0081.jpg","full-export","3088","2048","91.6","33.36","28.53","1.231"
"80","080 F-0082","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0082.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0082.jpg","full-export","3088","2048","93.98","35.85","29.45","1.244"
"81","081 F-0083","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0083.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0083.jpg","full-export","3088","2048","131.66","42.84","23.55","1.418"
"82","082 F-0084","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0084.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0084.jpg","full-export","2048","3088","117.31","32.66","21.53","1.408"
"83","083 F-0085","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0085.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0085.jpg","full-export","3088","2048","99.56","24.05","31.82","1.305"
"84","084 F-0086","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0086.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0086.jpg","full-export","3088","2048","81.75","44.03","28.37","1.88"
"85","085 F-0087","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0087.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0087.jpg","full-export","3088","2048","65.98","39.68","27.04","1.808"
"86","086 F-0089","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0089.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0089.jpg","full-export","3088","2048","59.54","28.61","15.23","1.233"
"87","087 F-0090","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0090.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0090.jpg","full-export","3088","2048","17.02","16.92","12.4","0.779"
"88","088 F-0091","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0091.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0091.jpg","full-export","3088","2048","44.02","38.82","27.23","1.14"
"89","089 F-0093","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0093.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0093.jpg","full-export","3088","2048","36.69","36.52","16.39","1.191"
